iter	Passed	Remaining
0	2	2476
1	6	3010
2	8	2938
3	12	3005
4	14	2966
5	17	2904
6	20	2889
7	22	2850
8	25	2818
9	28	2825
10	31	2817
11	34	2803
12	36	2793
13	39	2782
14	42	2776
15	45	2776
16	47	2764
17	50	2751
18	53	2761
19	56	2763
20	59	2756
21	62	2757
22	64	2751
23	67	2744
24	70	2753
25	73	2747
26	76	2750
27	79	2743
28	81	2733
29	84	2729
30	87	2739
31	91	2753
32	93	2749
33	96	2745
34	99	2739
35	102	2745
36	105	2745
37	108	2738
38	111	2738
39	113	2731
40	116	2726
41	120	2751
42	123	2745
43	126	2740
44	128	2733
45	131	2727
46	134	2721
47	136	2713
48	139	2707
49	142	2706
50	145	2706
51	148	2706
52	151	2707
53	154	2702
54	156	2697
55	160	2698
56	162	2694
57	165	2691
58	168	2692
59	172	2699
60	175	2709
61	179	2711
62	182	2710
63	185	2712
64	188	2708
65	191	2710
66	194	2705
67	197	2701
68	200	2706
69	203	2701
70	206	2697
71	208	2692
72	211	2685
73	214	2681
74	217	2682
75	220	2676
76	222	2671
77	225	2666
78	228	2661
79	231	2656
80	233	2651
81	235	2641
82	238	2639
83	241	2633
84	244	2629
85	247	2625
86	249	2622
87	252	2614
88	254	2606
89	257	2601
90	259	2592
91	261	2585
92	264	2578
93	266	2570
94	268	2562
95	271	2556
96	274	2551
97	276	2545
98	278	2538
99	281	2535
100	284	2530
101	286	2524
102	289	2521
103	291	2513
104	293	2505
105	296	2502
106	299	2496
107	301	2489
108	303	2482
109	305	2475
110	308	2468
111	310	2461
112	312	2456
113	315	2450
114	317	2443
115	319	2437
116	322	2431
117	324	2426
118	326	2420
119	329	2414
120	331	2409
121	334	2404
122	336	2400
123	339	2395
124	341	2390
125	343	2385
126	346	2380
127	348	2374
128	350	2369
129	353	2367
130	356	2362
131	358	2357
132	361	2353
133	363	2348
134	365	2342
135	368	2340
136	372	2347
137	375	2345
138	379	2349
139	382	2349
140	385	2349
141	388	2345
142	390	2343
143	394	2342
144	396	2339
145	399	2338
146	402	2335
147	405	2332
148	407	2327
149	410	2327
150	413	2322
151	415	2317
152	417	2312
153	420	2307
154	422	2302
155	424	2297
156	427	2293
157	429	2288
158	431	2284
159	434	2282
160	437	2278
161	439	2274
162	442	2271
163	444	2268
164	447	2265
165	451	2265
166	453	2261
167	455	2256
168	458	2252
169	460	2247
170	462	2243
171	465	2241
172	468	2240
173	471	2239
174	474	2236
175	476	2232
176	479	2227
177	481	2223
178	484	2221
179	487	2221
180	490	2220
181	493	2216
182	495	2211
183	497	2207
184	500	2203
185	502	2199
186	505	2197
187	508	2195
188	510	2192
189	514	2192
190	516	2188
191	519	2185
192	521	2182
193	524	2178
194	526	2174
195	529	2172
196	532	2170
197	535	2169
198	538	2166
199	540	2162
200	542	2158
201	545	2156
202	548	2152
203	551	2151
204	556	2156
205	558	2154
206	561	2149
207	563	2145
208	565	2141
209	568	2139
210	571	2138
211	575	2137
212	578	2136
213	582	2139
214	585	2135
215	587	2132
216	590	2130
217	593	2128
218	597	2130
219	599	2126
220	602	2122
221	605	2120
222	607	2118
223	612	2120
224	616	2123
225	619	2120
226	621	2118
227	624	2113
228	626	2110
229	629	2106
230	631	2102
231	638	2114
232	641	2110
233	643	2107
234	646	2104
235	648	2100
236	651	2096
237	653	2093
238	656	2090
239	659	2087
240	663	2090
241	670	2100
242	672	2096
243	675	2092
244	677	2088
245	680	2085
246	682	2081
247	685	2079
248	690	2083
249	693	2080
250	695	2076
251	698	2073
252	700	2069
253	703	2065
254	705	2060
255	709	2061
256	711	2057
257	715	2056
258	717	2053
259	720	2049
260	722	2045
261	725	2043
262	727	2039
263	735	2049
264	737	2045
265	740	2042
266	742	2038
267	744	2034
268	747	2031
269	751	2031
270	755	2032
271	759	2031
272	761	2027
273	764	2025
274	766	2021
275	769	2018
276	773	2019
277	777	2019
278	780	2017
279	783	2014
280	785	2010
281	788	2007
282	791	2005
283	794	2001
284	796	1999
285	799	1996
286	802	1993
287	804	1990
288	807	1986
289	809	1982
290	812	1979
291	815	1976
292	817	1972
293	819	1969
294	823	1966
295	825	1963
296	828	1960
297	830	1956
298	833	1953
299	835	1949
300	838	1946
301	840	1943
302	843	1940
303	845	1936
304	848	1932
305	850	1929
306	853	1927
307	856	1923
308	858	1920
309	861	1916
310	863	1913
311	866	1909
312	868	1906
313	871	1903
314	873	1900
315	876	1896
316	879	1895
317	882	1892
318	885	1890
319	888	1887
320	890	1883
321	893	1880
322	895	1877
323	897	1873
324	900	1870
325	902	1866
326	905	1863
